Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes,Country,Cost Category,Budget Range,Primary Cuisine,Cuisine List,Normalized Rating,Normalized Votes,Popularity Score
6317637,le petit souffle,162,Makati City,"Third Floor, Century City Mall, Kalayaan Avenue, Poblacion, Makati City","century city mall, poblacion, makati city","century city mall, poblacion, makati city, makati city",121.027535,14.565443,"french, japanese, desserts",1100,Botswana Pula(P),True,False,False,No,3,4.8,Dark Green,Excellent,314,Phillipines,high,4,french,"['french', 'japanese', 'desserts']",4.8,0.02871776111212731,0.6806153283336381
6304287,izakaya kikufuji,162,Makati City,"Little Tokyo, 2277 Chino Roces Avenue, Legaspi Village, Makati City","little tokyo, legaspi village, makati city","little tokyo, legaspi village, makati city, makati city",121.014101,14.553708,japanese,1200,Botswana Pula(P),True,False,False,No,3,4.5,Dark Green,Excellent,591,Phillipines,high,4,japanese,['japanese'],4.5,0.054051582220596306,0.6462154746661789
6300002,heat - edsa shangri-la,162,Mandaluyong City,"Edsa Shangri-La, 1 Garden Way, Ortigas, Mandaluyong City","edsa shangri-la, ortigas, mandaluyong city","edsa shangri-la, ortigas, mandaluyong city, mandaluyong city",121.056831,14.581404,"seafood, asian, filipino, indian",4000,Botswana Pula(P),True,False,False,No,4,4.4,Green,Very Good,270,Phillipines,high,4,seafood,"['seafood', 'asian', 'filipino', 'indian']",4.4,0.02469361624291202,0.6234080848728736
6318506,ooma,162,Mandaluyong City,"Third Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City","sm megamall, ortigas, mandaluyong city","sm megamall, ortigas, mandaluyong city, mandaluyong city",121.056475,14.585318,"japanese, sushi",1500,Botswana Pula(P),False,False,False,No,4,4.9,Dark Green,Excellent,365,Phillipines,high,4,japanese,"['japanese', 'sushi']",4.9,0.03338211084689958,0.69601463325407
6314302,sambo kojin,162,Mandaluyong City,"Third Floor, Mega Atrium, SM Megamall, Ortigas, Mandaluyong City","sm megamall, ortigas, mandaluyong city","sm megamall, ortigas, mandaluyong city, mandaluyong city",121.057508,14.58445,"japanese, korean",1500,Botswana Pula(P),True,False,False,No,4,4.8,Dark Green,Excellent,229,Phillipines,high,4,japanese,"['japanese', 'korean']",4.8,0.02094384488750686,0.678283153466252
18189371,din tai fung,162,Mandaluyong City,"Ground Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City","sm megamall, ortigas, mandaluyong city","sm megamall, ortigas, mandaluyong city, mandaluyong city",121.056314,14.583764,chinese,1000,Botswana Pula(P),False,False,False,No,3,4.4,Green,Very Good,336,Phillipines,high,4,chinese,['chinese'],4.4,0.030729833546734954,0.6252189500640205
6300781,buffet 101,162,Pasay City,"Building K, SM By The Bay, Sunset Boulevard, Mall of Asia Complex (MOA), Pasay City","sm by the bay, mall of asia complex, pasay city","sm by the bay, mall of asia complex, pasay city, pasay city",120.9796667,14.53133333,"asian, european",2000,Botswana Pula(P),True,False,False,No,4,4.0,Green,Very Good,520,Phillipines,high,4,asian,"['asian', 'european']",4.0,0.04755807572708981,0.5742674227181269
6301290,vikings,162,Pasay City,"Building B, By The Bay, Seaside Boulevard, Mall of Asia Complex (MOA), Pasay City","sm by the bay, mall of asia complex, pasay city","sm by the bay, mall of asia complex, pasay city, pasay city",120.9793333,14.54,"seafood, filipino, asian, european",2000,Botswana Pula(P),True,False,False,No,4,4.2,Green,Very Good,677,Phillipines,high,4,seafood,"['seafood', 'filipino', 'asian', 'european']",4.2,0.06191695628315347,0.606575086884946
6300010,spiral - sofitel philippine plaza manila,162,Pasay City,"Plaza Level, Sofitel Philippine Plaza Manila, CCP Complex, Pasay City","sofitel philippine plaza manila, pasay city","sofitel philippine plaza manila, pasay city, pasay city",120.98009,14.55299,"european, asian, indian",6000,Botswana Pula(P),True,False,False,No,4,4.9,Dark Green,Excellent,621,Phillipines,high,4,european,"['european', 'asian', 'indian']",4.9,0.05679531735869764,0.7030385952076094
6314987,locavore,162,Pasig City,"Brixton Technology Center, 10 Brixton Street, Kapitolyo, Pasig City",kapitolyo,"kapitolyo, pasig city",121.056532,14.572041,filipino,1100,Botswana Pula(P),True,False,False,No,3,4.8,Dark Green,Excellent,532,Phillipines,high,4,filipino,['filipino'],4.8,0.04865556978233035,0.686596670934699
